WKT;ID;NOMBRE;EMPRESA;LINEA;LINEA_2
POINT (-58.424295483795319 -34.571333613432138);2;3 DE FEBRERO;TBA - TRENES DE BS AS S.A.;MITRE;F.C.G.B.M.
POINT (-58.463056308336064 -34.567570624121778);4;BELGRANO R;TBA - TRENES DE BS AS S.A.;MITRE;F.C.G.B.M.
POINT (-58.435864363131444 -34.562548745955873);6;LISANDRO DE LA TORRE;TBA - TRENES DE BS AS S.A.;MITRE;F.C.G.B.M.
POINT (-58.449497797677708 -34.558443445191934);7;BELGRANO C;TBA - TRENES DE BS AS S.A.;MITRE;F.C.G.B.M.
POINT (-58.462399538710976 -34.548895455789449);8;NUÑEZ;TBA - TRENES DE BS AS S.A.;MITRE;F.C.G.B.M.
POINT (-58.467586306903755 -34.537522455862408);9;RIVADAVIA;TBA - TRENES DE BS AS S.A.;MITRE;F.C.G.B.M.
POINT (-58.501731905078806 -34.580455753438827);10;PUEYRREDON;TBA - TRENES DE BS AS S.A.;MITRE;F.C.G.B.M.
POINT (-58.487968112605422 -34.574767431385595);11;GRAL. URQUIZA;TBA - TRENES DE BS AS S.A.;MITRE;F.C.G.B.M.
POINT (-58.479082950515924 -34.568420870076402);12;DR. L. M. DRAGO;TBA - TRENES DE BS AS S.A.;MITRE;F.C.G.B.M.
POINT (-58.475347639016348 -34.565239946465866);13;COGHLAN;TBA - TRENES DE BS AS S.A.;MITRE;F.C.G.B.M.
POINT (-58.487369343639166 -34.553583272337761);14;L. M. SAAVEDRA;TBA - TRENES DE BS AS S.A.;MITRE;F.C.G.B.M.
POINT (-58.398936512447825 -34.576219282197172);16;SALDIAS;FERROVIAS S.A.C.;BELGRANO NORTE;F.C.G.B.
POINT (-58.426514719066375 -34.578502062268178);20;PALERMO;TRANSP.  METROPOLITANOS SAN MARTIN S.A.;SAN MARTIN;F.C.G.S.M.
POINT (-58.493953299664184 -34.601325985280262);21;VILLA DEL PARQUE;TRANSP.  METROPOLITANOS SAN MARTIN S.A.;SAN MARTIN;F.C.G.S.M.
POINT (-58.46663446944661 -34.596780235616258);22;LA PATERNAL;TRANSP.  METROPOLITANOS SAN MARTIN S.A.;SAN MARTIN;F.C.G.S.M.
POINT (-58.512619067723044 -34.602597827458773);23;DEVOTO;TRANSP.  METROPOLITANOS SAN MARTIN S.A.;SAN MARTIN;F.C.G.S.M.
POINT (-58.448488962097144 -34.665398922961188);24;PRES. ILLIA;TRANSP. METROPOLITANOS BELGRANO SUR S.A.;BELGRANO SUR;F.C.G.B.
POINT (-58.440839150331193 -34.66218185842591);25;VILLA SOLDATI;TRANSP. METROPOLITANOS BELGRANO SUR S.A.;BELGRANO SUR;F.C.G.B.
POINT (-58.477043152433261 -34.677205207837176);26;VILLA LUGANO;TRANSP. METROPOLITANOS BELGRANO SUR S.A.;BELGRANO SUR;F.C.G.B.
POINT (-58.415498070763078 -34.649058630578324);27;SAENZ;TRANSP. METROPOLITANOS BELGRANO SUR S.A.;BELGRANO SUR;F.C.G.B.
POINT (-58.3959918671124 -34.644740660196767);28;BUENOS AIRES;TRANSP. METROPOLITANOS BELGRANO SUR S.A.;BELGRANO SUR;F.C.G.B.
POINT (-58.406732652955618 -34.608325339291312);29;ONCE DE SEPTIEMBRE;TBA - TRENES DE BS AS S.A.;SARMIENTO;F.C.D.F.S.
POINT (-58.443529366688068 -34.619066023270022);30;CABALLITO;TBA - TRENES DE BS AS S.A.;SARMIENTO;F.C.D.F.S.
POINT (-58.52644551500223 -34.638929486650476);33;LINIERS;TBA - TRENES DE BS AS S.A.;SARMIENTO;F.C.D.F.S.
POINT (-58.501691433693793 -34.63624374030195);34;VILLA LURO;TBA - TRENES DE BS AS S.A.;SARMIENTO;F.C.D.F.S.
POINT (-58.465297820280362 -34.627580773362332);32;FLORES;TBA - TRENES DE BS AS S.A.;SARMIENTO;F.C.D.F.S.
POINT (-58.380517614366759 -34.628611001746407);35;CONSTITUCION;TRANSP.  METROPOLITANOS GRAL ROCA S.A.;ROCA;F.C.G.R.
POINT (-58.38290686380175 -34.644173276712351);36;SOLA;TRANSP.  METROPOLITANOS GRAL ROCA S.A.;ROCA;F.C.G.R.
POINT (-58.378873699126096 -34.653502027361981);37;YRIGOYEN;TRANSP.  METROPOLITANOS GRAL ROCA S.A.;ROCA;F.C.G.R.
POINT (-58.455463985791653 -34.586953443838006);38;FEDERICO LACROZE;METROVIAS S.A.;URQUIZA;F.C.G.U.
POINT (-58.494363582352186 -34.593150210179324);39;DR. FCO. BEIRO;METROVIAS S.A.;URQUIZA;F.C.G.U.
POINT (-58.476277527707687 -34.592447438223054);40;P. N. ARATA;METROVIAS S.A.;URQUIZA;F.C.G.U.
POINT (-58.466638778348717 -34.590413289207902);41;G. ARTIGAS;METROVIAS S.A.;URQUIZA;F.C.G.U.
POINT (-58.510395384110964 -34.595540954496016);42;ANTONIO DEVOTO;METROVIAS S.A.;URQUIZA;F.C.G.U.
POINT (-58.50404251424645 -34.594586159786822);43;EL LIBERTADOR;METROVIAS S.A.;URQUIZA;F.C.G.U.
POINT (-58.434831124696721 -34.575540566297249);3;MTRO. CARRANZA;TBA - TRENES DE BS AS S.A.;MITRE;F.C.G.B.M.
POINT (-58.48022161752899 -34.632203251428969);31;FLORESTA;TBA - TRENES DE BS AS S.A.;SARMIENTO;F.C.D.F.S.
POINT (-58.373866216863696 -34.589022367151621);18;RETIRO;TRANSP.  METROPOLITANOS SAN MARTIN S.A.;SAN MARTIN;F.C.G.S.M.
POINT (-58.374723846583983 -34.589748450662107);15;RETIRO;FERROVIAS S.A.C.;BELGRANO NORTE;F.C.G.B.
POINT (-58.37554196007882 -34.590996710662886);1;RETIRO;TBA - TRENES DE BS AS S.A.;MITRE;F.C.G.B.M.
POINT (-58.447695213882099 -34.573247821679487);5;COLEGIALES;TBA - TRENES DE BS AS S.A.;MITRE;F.C.G.B.M.
POINT (-58.447044369531241 -34.592737760622938);19;CHACARITA;TRANSP.  METROPOLITANOS SAN MARTIN S.A.;SAN MARTIN;F.C.G.S.M.
POINT (-58.368107759373657 -34.598829316948809);45;CORDOBA;;TRANVIA DEL ESTE;TRANVIA DEL ESTE
POINT (-58.367426268167762 -34.602244153310522);46;CORRIENTES;;TRANVIA DEL ESTE;TRANVIA DEL ESTE
POINT (-58.366500126859449 -34.611416873526068);47;BELGRANO;;TRANVIA DEL ESTE;TRANVIA DEL ESTE
POINT (-58.366033391865948 -34.616407134860651);48;INDEPENDENCIA;;TRANVIA DEL ESTE;TRANVIA DEL ESTE
POINT (-58.446515745762134 -34.54377791410257);49;CIUDAD UNIVERSITARIA;FERROVIAS S.A.C.;BELGRANO NORTE;F.C.G.B.
